Site,Treatment,Colony,Date,Mass,Brood,Framesbees,Updatedbrood
Black Cat,CSA,48,8/17/16,19.6730148,220.5,21,375732
River Ridge,CSA,49,8/17/16,23.7,250,33,426000
River Ridge,CSA,50,8/17/16,13,311,15.5,529944
River Ridge,CSA,51,8/17/16,17.35,0,22,0
River Ridge,CSA,52,8/17/16,45.3,257,37,437928
Mustard Seed,CSA,53,8/17/16,31.7,226,25,385104
Mustard Seed,CSA,54,8/17/16,29.1,195,17.5,332280
Mustard Seed,CSA,55,8/17/16,27,219,23,373176
Mustard Seed,CSA,56,8/17/16,22.3,192,12.5,327168
Berry Patch Farm,CSA,57,8/17/16,13.8763149,230,18.5,391920
Berry Patch Farm,CSA,58,8/17/16,26.9379684,224.5,32,382548
Berry Patch Farm,CSA,59,8/17/16,12.9691303,120,16,204480
Berry Patch Farm,CSA,60,8/17/16,28.37913375,288,34,490752
Uthe,Soybean,1,8/31/16,13.55,212,23,361248
Uthe,Soybean,2,8/31/16,25.2,242,35,412368
Uthe,Soybean,3,8/31/16,21.4,218,22,371472
Uthe,Soybean,4,8/31/16,16.35,280,34.5,477120
Ontario,Soybean,5,8/31/16,5.75,32,12,54528
Ontario,Soybean,6,8/31/16,6.75,0,1.5,0
Ontario,Soybean,7,8/31/16,5.65,113,14,192552
Ontario,Soybean,8,8/31/16,11.75,50,9,85200
Tracy 3,Soybean,9,8/31/16,2.45,23,3,39192
Tracy 3,Soybean,10,8/31/16,1.8,15,4,25560
Tracy 3,Soybean,11,8/31/16,5.45,155,16,264120
Tracy 3,Soybean,12,8/31/16,3.2,76,6,129504
Haglund 1,Soybean,13,8/31/16,9.65,134,16,228336
Haglund 1,Soybean,14,8/31/16,18,264.5,23,450708
Haglund 1,Soybean,15,8/31/16,12.25,133,11,226632
Haglund 1,Soybean,16,8/31/16,27.71,131,26.5,223224
Tracy 1,Soybean,17,8/31/16,23.4,73,13,124392
